Date,Weighted_Average_Score
2008-04-14,2.8705555900000004
2008-04-15,4.14198561
2008-04-16,3.0074445400000003
2008-04-17,2.3956467900000002
2008-04-18,2.7237764500000003
2008-04-21,2.52394591
2008-04-22,1.81397294
2008-04-23,2.26126671
2008-04-24,2.108977
2008-04-25,3.0235551999999997
2008-04-28,1.96878703
2008-04-30,2.98753636
2008-05-01,1.6876113900000003
2008-05-02,3.0522690499999996
2008-05-05,2.72545876
2008-05-06,2.65482936
2008-05-07,2.24412139
2008-05-08,2.76222968
2008-05-09,2.6789887300000004
2008-05-12,2.77170042
2008-05-13,3.0554945200000003
2008-05-14,2.88501193
2008-05-15,3.31418114
2008-05-16,3.6326674600000004
2008-05-19,2.72773008
2008-05-20,2.95688996
2008-05-22,3.02908671
2008-05-23,2.61820352
2008-05-27,2.3738101400000002
2008-05-28,2.48931906
2008-05-30,2.13062659
2008-06-02,2.0239712400000003
2008-06-03,2.58658624
2008-06-04,3.26497314
2008-06-05,2.62019779
2008-06-06,2.13031773
2008-06-10,2.62495001
2008-06-11,2.69296973
2008-06-12,2.63286324
2008-06-13,2.35631453
2008-06-16,3.2143076300000004
2008-06-17,2.7202234699999996
2008-06-18,3.30368571
2008-06-19,3.6963739
2008-06-20,2.8295277199999997
2008-06-23,2.9897036
2008-06-24,2.0204716200000004
2008-06-25,2.83269851
2008-06-26,2.8726384000000005
2008-06-30,2.40009061
2008-07-01,2.4116067699999997
2008-07-02,3.16037204
2008-07-03,2.7023583799999997
2008-07-07,3.25346343
2008-07-09,3.56074354
2008-07-10,2.4816902899999995
2008-07-11,2.5847036400000003
2008-07-14,3.26564697
2008-07-15,3.00757136
2008-07-16,1.73246053
2008-07-17,2.80149822
2008-07-18,2.30125122
2008-07-21,2.2860320699999996
2008-07-22,2.22800217
2008-07-23,2.4984894200000003
2008-07-24,2.3071238000000003
2008-07-25,2.41313727
2008-07-28,2.22124392
2008-07-29,1.97962202
2008-07-30,2.6133291400000003
2008-07-31,2.34868767
2008-08-04,2.53772002
2008-08-05,2.84133292
2008-08-06,2.69984537
2008-08-07,2.55859757
2008-08-08,2.61390206
2008-08-11,2.7822820100000003
2008-08-12,2.01070149
2008-08-14,2.2002998600000003
2008-08-15,2.4581895400000002
2008-08-18,2.09311644
2008-08-19,3.1982777
2008-08-20,2.9681319100000003
2008-08-21,3.10710218
2008-08-22,1.4235838600000001
2008-08-25,2.8577781599999996
2008-08-27,2.4932991500000004
2008-08-28,1.99656169
2008-08-29,2.1571719000000003
2008-09-02,2.47878099
2008-09-03,2.4509792
2008-09-04,2.45516114
2008-09-05,2.12794343
2008-09-08,2.41044258
2008-09-09,3.04331177
2008-09-10,3.0950343
2008-09-11,2.16837311
2008-09-12,2.62944812
2008-09-15,2.8727164500000004
2008-09-16,2.1243624600000004
2008-09-17,3.2871069299999993
2008-09-18,3.68722593
2008-09-19,2.69144321
2008-09-22,2.6399478800000002
2008-09-24,4.0227569800000005
2008-09-25,2.92642385
2008-09-26,1.77039425
2008-09-29,2.58856069
2008-09-30,3.08053593
2008-10-01,2.29371838
2008-10-02,1.81148937
2008-10-03,1.63876289
2008-10-06,2.37750693
2008-10-08,2.5534379
2008-10-09,2.64976567
2008-10-10,3.4776745799999995
2008-10-14,2.8193072299999997
2008-10-15,3.53713634
2008-10-16,3.4420050900000003
2008-10-17,2.04537889
2008-10-21,2.8631476399999998
2008-10-22,3.46375677
2008-10-23,4.2804376600000005
2008-10-24,2.49450391
2008-10-27,2.7662848799999997
2008-10-28,2.55664394
2008-10-30,2.6349561
2008-10-31,3.7326641599999997
2008-11-04,3.39023721
2008-11-05,2.91111799
2008-11-06,2.4045568000000004
2008-11-07,1.4087387
2008-11-10,2.1006018600000003
2008-11-11,3.6370066100000003
2008-11-12,3.54330172
2008-11-13,2.78097885
2008-11-14,3.50614777
2008-11-17,2.9486260800000004
2008-11-18,4.70375865
2008-11-19,4.21317832
2008-11-20,3.0923276900000003
2008-11-21,3.43503296
2008-11-24,3.3753040199999997
2008-11-25,2.9720123099999998
2008-11-26,3.9477036099999996
2008-11-28,4.06496263
2008-12-01,3.5000961000000004
2008-12-02,3.33524646
2008-12-04,3.41380653
2008-12-05,3.66510632
2008-12-08,1.68685184
2008-12-09,3.68255267
2008-12-10,3.87609652
2008-12-11,3.8485977699999996
2008-12-12,3.7638137499999997
2008-12-16,2.74027179
2008-12-17,2.69325795
2008-12-18,2.39277374
2008-12-19,1.95404406
2008-12-22,3.3430502800000004
2008-12-23,3.1256841
2008-12-24,2.63571512
2008-12-29,2.15239807
2008-12-31,2.02562751
2009-01-02,3.57439707
2009-01-05,2.67854328
2009-01-07,2.0759623900000004
2009-01-08,3.45661367
2009-01-09,3.67861257
2009-01-12,3.4454801600000002
2009-01-13,2.5710537
2009-01-15,2.26246643
2009-01-16,2.51735716
2009-01-20,3.50512554
2009-01-21,2.6147445700000005
2009-01-22,2.32514068
2009-01-23,1.5883931100000002
2009-01-26,2.0323319499999997
2009-01-27,2.90002392
2009-01-28,2.58327187
2009-01-29,1.82597514
2009-01-30,2.59318439
2009-02-02,2.53992824
